EncodedPixels,ImageId
57350 7 57604 10 57859 10 58114 12 58370 13 58625 14 58882 13 59137 14 59393 14 59650 12 59906 10 60162 8 60418 6 60675 4,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
33039 4 33294 8 33549 10 33805 11 34061 11 34317 11 34573 11 34829 10 35086 7,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
25656 3 25910 7 26166 8 26421 10 26677 11 26933 11 27189 11 27445 11 27701 11 27958 9 28215 7 28473 4,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
29038 5 29292 9 29547 12 29803 14 30058 15 30315 15 30571 15 30827 15 31084 14 31341 13 31598 11 31856 8,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
62064 6 62318 11 62573 13 62828 15 63083 16 63339 16 63595 16 63851 15 64108 13 64366 9,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
51838 4 52090 9 52345 11 52600 13 52855 14 53111 14 53366 15 53622 15 53879 13 54135 12 54392 10 54651 5,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
18300 5 18554 10 18809 13 19065 14 19321 15 19577 16 19833 16 20089 16 20345 16 20602 14 20859 11 21117 7,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
42370 11 42624 16 42879 19 43135 21 43390 23 43646 24 43902 24 44158 25 44415 24 44672 22 44928 22 45185 20 45443 17 45701 12 45959 7,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
4524 5 4777 10 5032 12 5287 14 5543 15 5798 17 6054 18 6310 19 6566 20 6823 20 7079 20 7336 19 7592 19 7849 17 8106 16 8363 16 8620 15 8878 13 9138 8,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
64724 7 64977 12 65233 13 65488 15,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
