EncodedPixels,ImageId
56329 2 56585 2 56841 2 57089 1 57093 1 57096 3 57100 2 57345 16 57601 10 57612 6 57857 10 57868 6 58113 10 58124 6 58369 5 58376 1 58380 6 58625 2 58637 5 58881 1 58893 5 59137 4 59149 5 59393 5 59401 9 59649 5 59657 8 59905 5 59913 8 60161 5 60168 9 60417 13 60673 8 60929 8 61185 8 61441 5,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
32781 12 33037 12 33293 12 33548 14 33804 14 34061 1 34069 5 34317 1 34325 5 34572 6 34581 5 34828 14 35084 13 35341 12 35597 12 35853 9,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
25400 2 25404 1 25653 12 25909 12 26165 12 26420 14 26676 7 26684 6 26933 5 26941 5 27189 1 27197 5 27444 5 27453 5 27700 6 27708 6 27956 6 27964 6 28213 5 28220 6 28469 5 28476 6 28725 1 28728 9,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
28778 15 29034 15 29290 15 29545 17 29801 20 30057 5 30073 5 30313 5 30329 5 30569 5 30585 5 30825 5 30841 5 31081 5 31097 5 31337 5 31353 5 31593 8 31609 5 31853 14 32112 10 32368 9 32624 9 32880 9,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
61549 13 61805 13 62061 13 62316 15 62569 21 62825 5 62841 5 63081 5 63097 5 63337 5 63353 5 63593 10 63604 10 63849 10 63860 9 64105 10 64116 9 64361 10 64372 9 64620 14 64881 2 64884 2 65134 11 65390 11,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
17530 9 17786 9 18042 9 18297 10 18308 2 18552 18 18805 5 18820 6 19061 5 19076 6 19317 5 19332 6 19573 5 19588 6 19832 2 19849 1 20089 1 20105 1 20344 5 20357 5 20600 18 20857 17 21113 16 21369 16 21628 13,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
51321 12 51577 12 51833 12 52088 14 52341 17 52597 5 52609 5 52853 5 52865 5 53109 5 53121 5 53365 5 53377 5 53621 5 53633 5 53877 5 53889 5 54133 5 54145 5 54389 16 54648 11 54904 11 55160 11 55417 9,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
42112 19 42365 22 42621 22 42877 24 43133 26 43389 5 43412 5 43645 5 43668 5 43901 5 43924 6 44157 5 44181 5 44413 5 44437 5 44669 5 44693 5 44925 5 44949 5 45181 14 45196 14 45440 11 45452 11 45697 10 45708 10 45953 10 45964 10 46209 20 46474 1 46730 1 46986 1 47242 1,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
4264 13 4518 15 4774 15 5029 17 5285 20 5541 5 5557 4 5797 5 5813 4 6053 5 6068 6 6309 5 6325 1 6328 5 6565 5 6585 5 6821 5 6841 5 7077 5 7097 5 7333 5 7353 5 7589 5 7609 5 7845 5 7865 5 8101 8 8121 5 8360 11 8377 5 8617 10 8633 5 8874 9 8889 5 9130 9 9140 2 9144 6 9389 17 9652 7 9908 6 10164 6 10420 3 10424 1,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
63701 2 63704 1 63957 2 63960 1 64213 2 64216 1 64465 1 64468 3 64472 3 64720 17 64973 10 64984 10 65229 21 65485 21,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
1 9 257 9 513 9 769 9 781 5 1025 9 1037 5 1281 8 1297 1 1537 5 1553 1 1793 5 1805 5 2049 5 2061 5 2305 1 2309 1 2317 5 2561 1 2565 1 2573 5 2817 1 2821 1 2824 2 2829 5 3073 1 3077 1 3080 9 3329 1 3333 1 3336 6 3585 1 3589 1 3593 5 3841 1 3845 1 3848 6 4097 1 4100 10 4357 9 4613 8 4869 8 5128 3,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
31580 5 31609 1 31832 10 31861 5 32088 10 32117 1 32120 1 32344 10 32373 1 32376 1 32597 1 32600 10 32628 2 32632 1 32828 13 32852 13 32881 5 33081 16 33105 4 33137 5 33337 16 33361 4 33393 5 33593 16 33617 5 33649 5 33837 26 33864 5 33873 5 33896 13 34093 1 34096 1 34101 6 34121 4 34129 5 34150 11 34349 1 34352 1 34357 5 34377 4 34385 4 34406 11 34604 5 34613 5 34633 5 34640 6 34661 12 34857 1 34860 5 34869 2 34872 2 34892 10 34917 10 35113 1 35116 2 35152 6 35173 5 35369 1 35373 1 35408 5 35429 5 35624 9 35664 6 35685 5 35876 14 35905 5 35921 9 35933 2 35936 7 36132 2 36136 7 36144 1 36161 5 36177 9 36189 2 36192 6 36388 2 36392 7 36400 1 36417 5 36433 9 36445 2 36448 5 36641 5 36648 10 36672 6 36689 9 36701 2 36704 5 36897 5 36905 1 36908 6 36916 34 36952 11 37153 5 37165 5 37172 14 37188 3 37192 10 37409 4 37421 5 37428 14 37445 2 37448 10 37665 5 37677 5 37684 14 37701 2 37704 10 37889 5 37921 4 37933 5 37941 10 37952 1 37961 6 37968 1 38145 5 38177 4 38189 5 38401 5 38433 1 38445 5 38657 6 38664 1 38689 4 38701 5 38913 10 38932 5 38945 5 38957 5 39176 3 39186 7 39201 5 39213 5 39432 3 39442 7 39457 4 39469 5 39688 5 39697 9 39713 5 39725 5 39948 11 39960 7 39968 6 39980 5 40205 5 40220 3 40224 6 40234 4 40461 5 40476 3 40480 6 40490 4 40717 5 40732 10 40745 5 40989 16 41249 9 41505 9 41760 10 42017 6 42024 1 42273 1 42529 1 42781 5 43037 5 43293 5 43549 4 43805 5 44060 5 44317 1 44573 1 44828 2 45084 1,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
44040 13 44296 13 44552 13 44801 1 44804 2 44808 13 45057 10 45068 15 45313 5 45333 5 45569 5 45589 5 45825 5 45845 5 46081 5 46102 4,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
61189 1 61441 1 61444 2 61697 1 61701 1 61953 1 61957 1 62209 5 62465 5 62721 5 62977 4 63233 5 63489 5 63745 5 64001 5 64257 5 64513 5 64769 5 65025 5 65281 5,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
56346 12 56602 5 56608 2 56612 2 56858 5 56864 2 56868 2 57113 6 57120 2 57124 5 57365 9 57380 6 57621 5 57637 4 57877 5 57893 4 58133 5 58149 4 58386 21 58641 20 58897 20 59153 20 59404 23 59660 10 59916 10 60169 14 60424 17 60681 2 60693 5 60937 1 60949 5 61192 2 61205 5 61448 1 61461 5 61717 4 61973 1 62229 1,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
48142 13 48398 15 48654 15 48908 17 49161 21 49417 13 49437 1 49673 13 49929 13 50185 13 50441 10 50697 9 50953 9 51209 9 51465 5 51721 4 51977 5 52236 15 52493 13 52749 13 53005 13 53264 9,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
