EncodedPixels,ImageId
57350 7 57604 10 57859 11 58114 12 58370 13 58625 15 58881 15 59137 14 59393 14 59649 13 59906 10 60162 8 60418 6 60675 4 60932 2,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
33039 5 33294 8 33549 10 33805 11 34061 11 34317 11 34573 11 34829 10 35086 8 35345 2,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
25656 3 25910 7 26166 8 26421 10 26677 11 26933 11 27189 11 27445 11 27701 11 27958 9 28215 8 28472 5,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
29038 5 29292 10 29547 13 29802 15 30058 16 30315 15 30571 15 30827 15 31084 14 31341 13 31598 11 31856 8,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
62064 7 62318 11 62572 14 62828 15 63083 16 63339 16 63595 16 63851 15 64108 13 64366 10,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
51837 5 52090 10 52345 11 52600 13 52855 14 53110 15 53366 15 53622 15 53878 14 54135 12 54392 10 54650 6,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
18299 6 18554 11 18809 14 19064 16 19320 16 19577 16 19833 16 20089 16 20345 16 20602 14 20859 12 21116 8,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
42118 1 42369 13 42624 16 42879 19 43135 21 43390 23 43646 24 43902 24 44158 25 44415 24 44672 23 44928 22 45185 21 45442 18 45700 14 45959 7,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
4523 6 4777 10 5031 13 5287 14 5542 16 5798 17 6054 18 6310 19 6566 20 6822 21 7079 20 7335 20 7592 19 7849 17 8106 16 8363 16 8620 15 8878 13 9137 10 9399 2,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
64722 9 64977 12 65232 15 65488 15,519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0
4 3 17 11 35 18 58 199 260 2 272 13 289 20 313 200 515 3 528 34 569 200 771 3 785 33 825 200 1027 3 1041 33 1081 200 1282 3 1297 34 1335 202 1538 3 1553 36 1590 207 1808 245 2064 245 2320 245 2574 247 2830 247 3083 250 3340 249 3597 248 3853 248 4109 248 4362 252 4617 16873 21494 251 21751 248 22009 246 22267 241 22523 241 22780 240 23038 238 23296 237 23553 237 23808 239 24064 241 24320 243 24576 247 24832 10239 35073 253 35329 252 35585 250 35841 250 36097 253 36353 2304 38662 251 38920 249 39178 247 39435 8 39446 235 39692 6 39705 232 39949 5 39963 230 40206 4 40222 222 40463 2 40479 219 40736 218 40992 217 41249 216 41505 215 41761 215 42017 214 42273 213 42529 212 42785 212 43041 211 43296 212 43552 212 43808 213 44063 214 44318 215 44556 7 44573 216 44810 9 44828 217 45059 18 45082 219 45311 2 45315 243 45564 5 45570 247 45818 7 45826 5118 50945 255 51201 255 51457 255 51713 255 51969 255 52225 7691 59917 4 59922 1 59925 247 60182 244 60439 243 60695 242 60951 241 61207 239 61463 106 61574 127 61718 105 61831 125 61973 106 62088 119 62208 4 62228 106 62346 114 62465 3 62482 74 62559 31 62605 110 62721 3 62736 74 62817 29 62861 109 62977 2 62992 74 63074 29 63118 105 63233 2 63247 75 63332 27 63376 101 63489 1 63503 75 63590 26 63632 99 63745 1 63760 74 63847 25 63887 99 64001 1 64016 73 64103 25 64143 103 64248 1 64257 1 64272 73 64360 25 64399 109 64513 1 64528 73 64617 26 64656 108 64769 2 64784 74 64874 26 64915 106 65025 3 65039 75 65130 26 65179 100 65281 4 65293 78 65387 12 65401 13 65437 100,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
42006 1,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
62720 1,44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078
31762 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
30 9 287 6,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
40247 5 40253 2 40502 9 40759 10 41016 2 41022 3 41271 5 41278 4 41524 1 41526 5 41535 4 41780 3 41791 4 42037 2 42049 2 42293 3 42305 1 42550 3 42806 3 43063 2,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
10042 4 10298 6 10554 9 10811 11 11067 7 11076 3 11324 6 11582 4,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
41789 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
42814 2 43070 3,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
43329 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
35396 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
6242 1 6496 1 6498 3 6752 9 7007 12 7263 13 7519 14 7774 15 8031 15 8287 16 8543 16 8800 15 9056 15 9313 12 9570 12 9827 11 10084 10 10342 6 10600 2,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
34686 9 34940 13 35195 16 35450 17 35705 19 35962 18 36218 18 36474 18 36731 16 36987 16 37245 13 37502 10,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
54211 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
28102 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
30431 7 30685 11 30940 13 31195 15 31451 15 31706 17 31962 17 32204 4 32216 19 32459 6 32471 20 32714 9 32725 21 32969 32 33225 32 33481 32 33737 32 33993 32 34250 32 34507 31 34764 30 35021 28 35277 28 35533 27 35789 27 36046 25 36302 12 36318 6 36559 11 36815 10 37072 9 37330 6,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
28106 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
28111 2,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
3802 2 4053 8 4308 10 4320 1 4564 14 4819 15 5075 15 5331 15 5587 15 5843 14 6099 15 6355 14 6612 12 6869 10 7125 9 7382 6 7642 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
26845 3 27098 8 27353 10 27608 12 27863 14 28119 14 28375 14 28631 14 28888 12 29145 10 29402 7,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
5347 1,5cee644e5ffbef1ba021c7f389b33bafd3b1841f04d3edd7922d5084c2c4e0c7
31009 8 31263 13 31518 16 31773 19 32028 21 32284 21 32540 21 32796 21 33051 22 33308 21 33564 20 33821 18 34078 17 34335 15 34593 11 34850 8,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
60961 3 61212 4 61219 1 61221 2 61468 3 61473 7 61725 13 61981 13 62236 14 62492 1 62495 10 62752 9 63008 11 63260 1 63262 12 63515 15 63771 8 63785 1 64027 9 64286 5 64545 2,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
50223 1 50477 1 50479 8 50729 13 50982 1 50984 14 51000 2 51236 10 51250 8 51491 11 51506 6 51745 13 51763 5 52001 14 52018 5 52257 16 52274 4 52512 14 52768 11 53023 10 53278 10 53534 9 53792 6 54048 5 54304 4 54562 1,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
13870 3 14120 3 14125 4 14130 2 14376 12 14632 11 14889 9 15146 8 15403 6 15658 3 15663 2 15913 4,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
64042 1,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
14665 4 14907 9 14917 11 14930 8 15162 35 15417 37 15673 38 15928 40 16183 41 16438 42 16694 42 16949 22 16975 16 17205 11 17233 13 17461 7 17491 9 17718 4,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
50017 5 50266 16 50520 20 50775 21 51030 23 51285 23 51541 22 51796 22 52052 21 52309 20 52566 19 52823 19 53080 19 53337 18 53595 16 53853 13 54112 7,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
64619 3 64873 10 65125 16 65380 18,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
51328 2 51582 9 51826 6 51836 13 52082 24 52337 26 52593 27 52848 30 53102 32 53357 34 53613 34 53869 34 54126 33 54383 31 54641 15 54660 8 54898 14 55155 12 55414 8,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
5025 5 5279 11 5521 25 5773 29 6027 31 6281 32 6535 30 6790 28 7045 26 7300 25 7557 22 7812 22 8068 21 8323 21 8578 21 8837 15,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
58764 13 59019 17 59274 20 59529 23 59784 26 60039 28 60295 29 60551 30 60806 32 61062 32 61319 31 61575 31 61832 29 62089 28 62347 24 62606 19 62864 15,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
42183 9 42433 18 42688 20 42943 21 43194 27 43449 28 43705 27 43961 27 44217 26 44472 27 44729 25 44986 23 45242 23 45500 20 45757 18 46018 10,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
5830 10 6085 16 6341 18 6597 19 6854 19 7110 19 7365 21 7621 21 7876 22 8132 21 8386 22 8641 22 8896 21 9151 19 9407 16 9664 11,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
51440 2 51689 2 51692 10 51942 18 51961 2 52195 25 52451 26 52706 27 52962 26 53217 27 53473 27 53730 25 53984 27 54014 3 54238 35 54492 37 54748 37 55003 38 55259 38 55514 39 55770 39 56026 39 56283 38 56539 38 56795 38 57051 38 57306 39 57559 31 57595 6 57814 24 57854 3 58068 24 58324 21 58580 21 58836 22 59093 21 59350 19 59606 20 59863 18 60120 17 60378 14 60636 8,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
29149 8 29401 18 29655 25 29911 27 30166 30 30422 31 30678 31 30934 31 31191 30 31447 30 31705 27 31965 21,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
20728 4 20983 9 21237 12 21493 12 21749 12 22005 12 22263 10 22520 9 22777 8 23033 8 23291 6 23549 4 23808 1,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
14333 4 14586 7 14840 9 15095 10 15350 11 15606 11 15862 11 16118 11 16374 11 16630 11 16887 10 17144 9 17401 8 17659 6 17917 4 18176 1,ade080c6618cbbb0a25680cf847f312b5e19b22bfe1cafec0436987ebe5b1e7e
158 99 413 100 669 100 924 101 1180 101 1435 102 1691 102 1947 102 2202 103 2458 103 2713 104 2968 105 3224 105 3481 104 3738 103 3994 103 4249 104 4506 103 4762 103 5019 102 5276 101 5532 101 5790 99 6047 98 6302 99 6558 99 6813 100 7067 102 7323 102 7578 103 7833 104 8087 106 8342 107 8597 108 8853 108 9107 110 9363 110 9618 111 9873 112 10129 112 10385 112 10640 113 10889 5 10895 114 11144 121 11399 5 11405 116 11655 4 11661 116 11912 2 11917 116 12168 1 12172 117 12423 2 12428 117 12683 118 12939 118 13194 119 13449 120 13704 121 13959 122 14215 122 14470 123 14725 124 14980 125 15235 126 15490 127 15745 128 15999 130 16252 133 16507 134 16760 137 17013 140 17268 141 17524 141 17779 142 18034 143 18289 144 18544 145 18799 146 19053 148 19308 149 19560 153 19815 154 20070 156 20324 160 20579 163 20832 167 21087 171 21341 174 21596 176 21851 178 22104 182 22355 189 22609 192 22863 194 23116 199 23370 201 23626 201 23881 205 24135 207 24390 208 24646 186 24833 22 24869 4 24902 184 25089 22 25125 5 25157 184 25345 24 25377 9 25411 185 25602 23 25632 11 25667 183 25857 23 25887 13 25922 183 26113 23 26139 2 26143 14 26177 183 26372 1 26377 6 26384 13 26399 15 26432 183 26634 3 26643 23 26686 184 26891 2 26900 6 26907 17 26941 185 27156 5 27163 16 27195 187 27419 14 27450 188 27672 16 27702 191 27930 14 27957 189 28186 11 28212 187 28443 6 28451 1 28463 191 28700 4 28718 190 28958 2 28973 190 29214 3 29226 192 29471 4 29478 195 29728 201 29983 203 30239 200 30440 1 30494 198 30750 196 31005 195 31261 194 31517 192 31772 192 32026 194 32282 192 32538 191 32794 190 33049 191 33305 190 33561 188 33816 188 34072 187 34328 186 34584 185 34840 185 35095 186 35350 186 35605 187 35859 189 36108 3 36114 190 36362 5 36369 191 36617 5 36624 192 36871 7 36880 187 37127 194 37383 194 37637 195 37894 193 38147 194 38403 191 38658 191 38914 191 39170 192 39425 194 39683 192 39939 192 40196 189 40451 190 40705 192 40961 190 41217 190 41475 187 41729 188 41985 188 42241 188 42498 187 42753 188 43009 188 43267 185 43521 187 43777 3 43783 181 44035 3 44039 181 44291 2 44295 180 44550 182 44803 185 45057 187 45313 187 45569 188 45825 188 46081 189 46337 189 46593 189 46849 190 47105 190 47361 190 47617 189 47873 187 48129 185 48385 184 48641 183 48897 183 49153 181 49409 181 49665 181 49921 181 50177 179 50433 179 50689 179 50945 178 51201 178 51457 178 51713 177 51969 177 52225 177 52481 177 52737 177 52993 178 53249 177 53505 176 53761 176 54017 176 54273 177 54529 178 54785 177 55041 177 55297 183 55553 172 55728 10 55809 173 55984 8 56065 174 56243 1 56321 173 56577 172 56833 172 57089 171 57345 171 57601 170 57857 170 58113 170 58369 170 58625 172 58881 172 59137 172 59393 172 59649 173 59905 174 60161 174 60417 176 60673 177 60929 179 61185 181 61441 170 61619 5 61697 167 61878 7 61953 164 62135 8 62209 163 62393 7 62465 161 62721 161 62977 160 63233 159 63489 158 63745 157 64001 156 64257 155 64513 155 64769 154 65025 155 65281 155,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
29185 1 29441 1 29697 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
30209 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
31233 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
32771 3 32778 1 33025 4 33031 9 33281 4 33287 10 33537 16 33793 14 34049 15 34305 12 34319 2 34561 11 34817 13 35073 13 35329 6 35336 4 35585 6 35593 1 35841 7 36097 6 36353 1 36357 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
28675 3 28932 5 29189 3,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
29956 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
29702 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
17927 2 18183 5 18443 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
30472 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
19465 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
19722 2 19979 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
28938 1 29194 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
27668 2 27921 5 28177 4 28433 3 28690 2 28946 2 29199 6 29451 1 29455 6 29706 3 29711 6 29962 14 30219 13 30477 9 30735 5 30994 2,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
30730 1,17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff
