ImageId,EncodedPixels
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,2 2 8 0 7 9   4   2 2 8 5 9 0   6   2 2 9 1 0 2   6   2 2 9 6 1 4   1 0   2 3 0 1 2 6   1 0   2 3 0 6 3 8   1 0   2 3 1 1 5 0   1 0   2 3 1 6 6 3   9   2 3 2 1 7 3   1 1   2 3 2 6 8 4   1 2   2 3 3 1 9 6   6   2 3 3 7 0 8   8   2 3 4 2 2 0   8   2 3 4 7 3 1   1 0   2 3 5 2 4 2   1 2   2 3 5 7 5 4   1 2   2 3 6 2 6 1   1 7   2 3 6 7 7 2   1 8   2 3 7 2 8 4   1 4   2 3 7 7 9 6   1 4   2 3 8 3 0 9   1 2   2 3 8 8 2 2   8   2 3 9 3 3 4   8   2 3 9 8 4 7   6
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,1 9 1 2 1 7   4   1 9 1 7 2 8   6   1 9 2 2 4 0   6   1 9 2 7 5 2   1 3   1 9 3 2 6 4   1 4   1 9 3 7 7 8   1 2   1 9 4 2 8 8   1 4   1 9 4 8 0 0   1 3   1 9 5 3 1 1   1 1   1 9 5 8 2 2   1 2   1 9 6 3 3 4   1 1   1 9 6 8 4 6   1 1   1 9 7 3 5 8   1 2   1 9 7 8 7 0   1 2   1 9 8 3 8 2   1 2   1 9 8 8 9 5   1 0   1 9 9 4 1 0   4   1 9 9 9 2 2   4   2 0 0 4 3 5   2
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,2 1 0 7 3 4   6   2 1 1 2 4 6   6   2 1 1 7 5 8   6   2 1 2 2 7 0   6   2 1 2 7 8 4   2
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,4 7 1 1 8   3
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,4 8 6 7 7   5   4 9 1 9 6   5   4 9 7 1 5   5   5 0 2 3 4   5   5 0 7 5 3   9   5 1 2 7 0   5   5 1 2 7 6   6   5 1 7 9 5   6   5 2 3 1 2   7   5 2 8 3 1   5   5 2 8 3 7   6   5 3 3 5 6   4
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,4 7 6 4 1   3
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,5 3 8 7 1   3   5 4 3 8 8   5   5 4 9 0 7   3
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,2 4 3 8 3   4
ca20076870e8fb604e61802605a9ac45419c82dd3e23404c56c4869f9502a5ef,1 7 1 2 0   2   1 7 6 3 8   4
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,4 1 5 3 1   2   4 2 0 4 2   4   4 2 5 5 4   4   4 3 0 6 6   4   4 3 5 7 8   4
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,3 3 8 8 3   2   3 4 3 9 4   4   3 4 9 0 6   4   3 5 4 1 8   4   3 5 9 3 0   4
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,1 8 1 4 0 8   4   1 8 1 9 2 0   4   1 8 2 4 3 2   4   1 8 2 9 4 4   4   1 8 3 4 5 7   2
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,1 1 0 0 9   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 2 8 3   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 2 8 6   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 2 8 9   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 2 9 4   2
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 1 9   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 2 1   2
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 3 7   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 4 5   2
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 5 1   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 5 6   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 6 2   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 6 5   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 7 5   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 2 3 0 6   1   6 2 5 6 1   2
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 2 5 6 4   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 3 8 1   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 4 9 1 5   1   4 5 1 7 1   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 4 0 4   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 5 2 1 6   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 6 5 2 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,2 8 6 0 3   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 9 1 0 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 4 9 5   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,6 5 5 0 6   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 1 9 5 5   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 3 2 5 6   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,2 3 3   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,2 9 9 4 8   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,2 8 1 6 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 3 7 9 2   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 4 5 6 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 6 3 5 2   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 8 9 1 2   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,3 9 6 8 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 0 9 6 0   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 1 9 8 4   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 3 0 0 8   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 7 1 0 4   1
ab298b962a63e4be9582513aaa84a5e270adba5fd2b16a50e59540524f63c3b8,4 7 6 1 6   1
da6c593410340b19bb212b9f6d274f95b08c0fc8f2570cd66bc5ed42c560acab,6 6 1 1 7   6   6 6 6 2 8   8   6 7 1 4 0   8   6 7 6 5 2   8   6 8 1 6 5   6
da6c593410340b19bb212b9f6d274f95b08c0fc8f2570cd66bc5ed42c560acab,2 5 9 2 2 3   2   2 5 9 7 3 4   4   2 6 0 2 4 6   4   2 6 0 7 5 8   4   2 6 1 2 7 0   4
da6c593410340b19bb212b9f6d274f95b08c0fc8f2570cd66bc5ed42c560acab,1 4 6 7 1   4   1 5 1 8 2   6   1 5 6 9 4   6   1 6 2 0 6   6   1 6 7 1 9   4
da6c593410340b19bb212b9f6d274f95b08c0fc8f2570cd66bc5ed42c560acab,1 3 1 4 3   2   1 3 6 5 4   4   1 4 1 6 6   4   1 4 6 7 8   4   1 5 1 9 0   4
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 8 9 7   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 1 7 8   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 7 1 0 7   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 3 8 8   1   4 8 6 4 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 3 9 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,2 9 9 6 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,3 2 7 7 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 9 6 7 2   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 4 4 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,3 2 2 6 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 7 3 7 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 9 6 7 4   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 2 4 9 0   1   5 2 7 4 7   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 6 9 0 7   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 6 6 0 3   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 1 3 9   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 6 9 9   1   5 0 9 5 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,3 4 5 7 2   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 7 6 2 8   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 6 1 4 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 7 9 3 3   1   1 8 1 8 9   1   1 8 4 4 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 3 9 7   1   4 8 6 5 3   1   4 8 9 0 9   1   4 9 1 6 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 9 8 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 6 6 0 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 1 9 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 4 7 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 3 2 6 2   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 7 4 2 5   1   1 7 6 8 1   1   1 7 9 3 5   2   1 8 1 9 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 9 8 3   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 2 4 9 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 4 0 3 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 6 4 0 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 9 1 2   2   4 9 1 6 8   1   4 9 4 2 5   1   4 9 6 8 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 4 5 4 4   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 2 1 7   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 7 2 9   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 1 9 4   1   5 0 4 5 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 5 0 5 9   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 6 9 1 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 8 7 0 8   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 9 2 2 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 8 6 6 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 9 4 2 8   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 4 7 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 2 7 5 6   1   5 3 0 1 3   1   5 3 2 6 9   1   5 3 5 2 5   1   5 3 7 8 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 5 5 7 2   2
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 7 6 8 5   1   1 7 9 4 1   1   1 7 9 4 4   1   1 8 1 9 7   2   1 8 2 0 0   1   1 8 4 5 5   1   1 8 4 5 7   1   1 8 7 1 1   1   1 8 9 6 6   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,2 0 2 4 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 9 6 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 6 0 8 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 1 9 8   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 4 2 9 4   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,1 9 4 7 9   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 7 1 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 2 2 3   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 1 7 3 5   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 3 0 1 6   1   5 3 2 7 1   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 5 0 6 5   1   5 5 3 1 9   2
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 7 3 6 7   2
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,4 9 9 4 4   1   5 0 2 0 0   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 5 8 3 2   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 0 7 1 4   1   5 0 9 6 9   1
4be73d68f433869188fe5e7f09c7f681ed51003da6aa5d19ce368726d8e271ee,5 3 5 2 9   1
